"","file","dataset","px.cm","genotype","node","top_x","top_y","bottom_x","bottom_y"
"82","BW_10048_13.jpg","apple",81.93,"10048",NA,595.875,169.688,560.125,739
"83","BW_10048_17.jpg","apple",81.93,"10048",NA,571.667,193.708,567.917,702.167
"84","BW_10048_19.jpg","apple",81.93,"10048",NA,579.062,118.688,518.75,726.25
"85","BW_10048_3.jpg","apple",81.93,"10048",NA,597.083,148.833,557.167,760.333
"86","BW_10048_5.jpg","apple",81.93,"10048",NA,573.125,127.625,528.25,722.25
"87","BW_10048_7.jpg","apple",81.93,"10048",NA,604.688,154.688,566.312,714.375
"88","BW_10048_9.jpg","apple",81.93,"10048",NA,564.469,163.594,553.656,713.375
"89","BW_10054_1.jpg","apple",81.93,"10054",NA,538.875,128.625,541.667,719.25
"90","BW_10054_11.jpg","apple",81.93,"10054",NA,549.25,116.625,576.875,735.125
"91","BW_10054_13.jpg","apple",81.93,"10054",NA,551.188,140.75,548.833,713.333
"92","BW_10054_15.jpg","apple",81.93,"10054",NA,579.125,156.625,560.125,708.125
"93","BW_10054_17.jpg","apple",81.93,"10054",NA,580.042,163.625,572.083,717.375
"94","BW_10054_19.jpg","apple",81.93,"10054",NA,511.75,129.625,510.812,713.312
"95","BW_10054_3.jpg","apple",81.93,"10054",NA,528.375,120.688,571.833,701.25
"96","BW_10054_5.jpg","apple",81.93,"10054",NA,555.438,129.594,581.208,709.375
"97","BW_10054_7.jpg","apple",81.93,"10054",NA,567.667,159.583,566.656,697.375
"98","BW_10055_1.jpg","apple",81.93,"10055",NA,542.125,185.688,565.958,660.417
"99","BW_10055_11.jpg","apple",81.93,"10055",NA,541.531,193.625,569.042,608.375
"100","BW_10055_13.jpg","apple",81.93,"10055",NA,559.292,206.625,564.75,633.375
"101","BW_10055_15.jpg","apple",81.93,"10055",NA,545.125,216.625,554.312,607.375
"102","BW_10055_17.jpg","apple",81.93,"10055",NA,514.688,204.688,602.344,611.375
"103","BW_10055_3.jpg","apple",81.93,"10055",NA,553.625,172.625,566.344,651.375
"104","BW_10055_5.jpg","apple",81.93,"10055",NA,586.25,220.688,538.333,637.375
"105","BW_10055_7.jpg","apple",81.93,"10055",NA,575.25,211.625,522,628.125
"106","BW_10055_9.jpg","apple",81.93,"10055",NA,460.625,215.625,641.25,641.312
"107","BW_10061_1.jpg","apple",81.93,"10061",NA,566,152.625,587.375,748
"108","BW_10061_11.jpg","apple",81.93,"10061",NA,572.125,168.688,532.917,748.333
"109","BW_10061_13.jpg","apple",81.93,"10061",NA,545.625,148.875,647.292,713.333
"110","BW_10061_15.jpg","apple",81.93,"10061",NA,575.25,208.667,564.312,652.312
"111","BW_10061_17.jpg","apple",81.93,"10061",NA,623,207.667,537.917,690.25
"112","BW_10061_19.jpg","apple",81.93,"10061",NA,571.25,202.625,568.333,703.25
"113","BW_10061_3.jpg","apple",81.93,"10061",NA,608.083,166.75,538,693.333
"114","BW_10061_5.jpg","apple",81.93,"10061",NA,605,213.75,503.167,689
"115","BW_10061_7.jpg","apple",81.93,"10061",NA,585.188,166.688,545,702.333
"116","BW_10061_9.jpg","apple",81.93,"10061",NA,575.333,197.667,543.125,678.125
"117","BW_10063_13.jpg","apple",81.93,"10063",NA,638.083,169.75,555.812,737.312
"118","BW_10063_15.jpg","apple",81.93,"10063",NA,631,180.667,532.438,733.406
"119","BW_10063_17.jpg","apple",81.93,"10063",NA,527.75,185.688,580,731.125
"120","BW_10063_19.jpg","apple",81.93,"10063",NA,575.25,161.667,546.292,713.292
